input,output
Thinking of allocateing 33 percentage small-cap stocks into HighYieldBonds,SET ETF HighYieldBonds WITH SMALL_CAP_STOCKS = 33%
Please alter minor stocks by 6 percent in myPortfolio.,UPDATE ETF myPortfolio WITH SMALL_CAP_STOCKS = 6%
"We're moving to amend 11% more to fixed-income securities in BlueChipStocks, correct?",UPDATE ETF BlueChipStocks WITH BONDS = 11%
assigning GreenEnergyInvest to include 66% more big-cap stocks.,SET ETF GreenEnergyInvest WITH LARGE_CAP_STOCKS = 66%
Could you alter 23 proportion to fixed-income securities in HighYieldBonds?,UPDATE ETF HighYieldBonds WITH BONDS = 23%
Let's assign 58 percentage more of debt instruments to TechGrowth's portfolio.,SET ETF TechGrowth WITH BONDS = 58%
"position GlobalEquityFund by adding 82 percent medium stocks, please.",SET ETF GlobalEquityFund WITH MID_CAP_STOCKS = 82%
Is it possible to alter VentureCapital's large-cap stocks allocation by 38 proportion?,UPDATE ETF VentureCapital WITH LARGE_CAP_STOCKS = 38%
Is it possible to designate AlphaFund's fixed-income securities allocation by 23 percentage?,SET ETF AlphaFund WITH BONDS = 23%
Is it possible to allocate HighYieldBonds's small-size stocks allocation by 1%?,SET ETF HighYieldBonds WITH SMALL_CAP_STOCKS = 1%
"change IncomeFund2024 by adding 17 proportion big-cap stocks, please.",UPDATE ETF IncomeFund2024 WITH LARGE_CAP_STOCKS = 17%
Is it possible to update PortfolioA's big-cap stocks allocation by 20 percent?,UPDATE ETF PortfolioA WITH LARGE_CAP_STOCKS = 20%
"designate IncomeFund2024 by adding 76 proportion mid-size stocks, please.",SET ETF IncomeFund2024 WITH MID_CAP_STOCKS = 76%
"allocate PreciousMetalsFund by adding 14% fixed-income securities, please.",SET ETF PreciousMetalsFund WITH BONDS = 14%
Please position small-cap stocks by 59 percentage in VentureCapital.,SET ETF VentureCapital WITH SMALL_CAP_STOCKS = 59%
Thinking of changeing 20 percent major stocks into GlobalEquityFund,UPDATE ETF GlobalEquityFund WITH LARGE_CAP_STOCKS = 20%
I'm considering changeing TechGrowth with an additional 55 proportion of mid-size stocks.,UPDATE ETF TechGrowth WITH MID_CAP_STOCKS = 55%
Plan to assign the bonds in AlphaFund by 54 percentage.,SET ETF AlphaFund WITH BONDS = 54%
