input,output
update 76 proportion to small-cap stocks in HighYieldBonds,MODIFY ALLOCATION FOR HighYieldBonds TO INCLUDE SMALL_CAP_STOCKS AT 76%
I'm considering updateing ValueInvest with an additional 64% of small-cap stocks.,MODIFY ALLOCATION FOR ValueInvest TO INCLUDE SMALL_CAP_STOCKS AT 64%
How about we amend 37% of medium stocks in PortfolioA?,MODIFY ALLOCATION FOR PortfolioA TO INCLUDE MID_CAP_STOCKS AT 37%
I'm considering placeing TechGrowth with an additional 31 proportion of small-cap stocks.,DEFINE ALLOCATION FOR TechGrowth WITH SMALL_CAP_STOCKS AT 31%
update 79 percentage to major stocks in GreenEnergyInvest,MODIFY ALLOCATION FOR GreenEnergyInvest TO INCLUDE LARGE_CAP_STOCKS AT 79%
Thinking of seting 92 percentage minor stocks into myPortfolio,DEFINE ALLOCATION FOR myPortfolio WITH SMALL_CAP_STOCKS AT 92%
"alter DividendGrowers by adding 49 percent large-cap stocks, please.",MODIFY ALLOCATION FOR DividendGrowers TO INCLUDE LARGE_CAP_STOCKS AT 49%
Plan to position the small-cap stocks in VentureCapital by 43 percent.,DEFINE ALLOCATION FOR VentureCapital WITH SMALL_CAP_STOCKS AT 43%
Thinking of positioning 35 percentage small-cap stocks into BetaPortfolio,DEFINE ALLOCATION FOR BetaPortfolio WITH SMALL_CAP_STOCKS AT 35%
modify 71 proportion to major stocks in GlobalEquityFund,MODIFY ALLOCATION FOR GlobalEquityFund TO INCLUDE LARGE_CAP_STOCKS AT 71%
"allocate PortfolioB by adding 53 percentage large-cap stocks, please.",DEFINE ALLOCATION FOR PortfolioB WITH LARGE_CAP_STOCKS AT 53%
"amend RealEstateHoldings by adding 11% small-size stocks, please.",MODIFY ALLOCATION FOR RealEstateHoldings TO INCLUDE SMALL_CAP_STOCKS AT 11%
"We're moving to alter 36% more to fixed-income securities in AlphaFund, correct?",MODIFY ALLOCATION FOR AlphaFund TO INCLUDE BONDS AT 36%
Is it possible to alter TechGrowth's large-cap stocks allocation by 29%?,MODIFY ALLOCATION FOR TechGrowth TO INCLUDE LARGE_CAP_STOCKS AT 29%
positioning GlobalEquityFund to include 65 proportion more small-cap stocks.,DEFINE ALLOCATION FOR GlobalEquityFund WITH SMALL_CAP_STOCKS AT 65%
