input,output
How about we modify 1 percentage of fixed-income securities in AlphaFund?,"if 'AlphaFund' in portfolio and 'BONDS' in portfolio['AlphaFund']:
    portfolio['AlphaFund']['BONDS'] = '1%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Could you position 46 percentage to big-cap stocks in IncomeFund2024?,"if 'IncomeFund2024' not in portfolio:
    portfolio['IncomeFund2024'] = {}
portfolio['IncomeFund2024']['LARGE_CAP_STOCKS'] = '46%'"
Could you position 90 proportion to big-cap stocks in BlueChipStocks?,"if 'BlueChipStocks' not in portfolio:
    portfolio['BlueChipStocks'] = {}
portfolio['BlueChipStocks']['LARGE_CAP_STOCKS'] = '90%'"
"set PreciousMetalsFund by adding 22 percent major stocks, please.","if 'PreciousMetalsFund' not in portfolio:
    portfolio['PreciousMetalsFund'] = {}
portfolio['PreciousMetalsFund']['LARGE_CAP_STOCKS'] = '22%'"
I'm considering designateing GlobalEquityFund with an additional 49 proportion of minor stocks.,"if 'GlobalEquityFund' not in portfolio:
    portfolio['GlobalEquityFund'] = {}
portfolio['GlobalEquityFund']['SMALL_CAP_STOCKS'] = '49%'"
Please position large-cap stocks by 87% in VentureCapital.,"if 'VentureCapital' not in portfolio:
    portfolio['VentureCapital'] = {}
portfolio['VentureCapital']['LARGE_CAP_STOCKS'] = '87%'"
How about we amend 59 proportion of small-cap stocks in PortfolioA?,"if 'PortfolioA' in portfolio and 'SMALL_CAP_STOCKS' in portfolio['PortfolioA']:
    portfolio['PortfolioA']['SMALL_CAP_STOCKS'] = '59%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Could you place 68 percent to debt instruments in PreciousMetalsFund?,"if 'PreciousMetalsFund' not in portfolio:
    portfolio['PreciousMetalsFund'] = {}
portfolio['PreciousMetalsFund']['BONDS'] = '68%'"
Is it possible to revise VentureCapital's mid-size stocks allocation by 27 percent?,"if 'VentureCapital' in portfolio and 'MID_CAP_STOCKS' in portfolio['VentureCapital']:
    portfolio['VentureCapital']['MID_CAP_STOCKS'] = '27%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
position 18% to small-size stocks in TechGrowth,"if 'TechGrowth' not in portfolio:
    portfolio['TechGrowth'] = {}
portfolio['TechGrowth']['SMALL_CAP_STOCKS'] = '18%'"
I'm considering amending GlobalEquityFund with an additional 28 percentage of debt instruments.,"if 'GlobalEquityFund' in portfolio and 'BONDS' in portfolio['GlobalEquityFund']:
    portfolio['GlobalEquityFund']['BONDS'] = '28%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
"We're moving to modify 98 proportion more to minor stocks in RealEstateHoldings, correct?","if 'RealEstateHoldings' in portfolio and 'SMALL_CAP_STOCKS' in portfolio['RealEstateHoldings']:
    portfolio['RealEstateHoldings']['SMALL_CAP_STOCKS'] = '98%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Is it possible to allocate CryptoAssets's medium stocks allocation by 69 percentage?,"if 'CryptoAssets' not in portfolio:
    portfolio['CryptoAssets'] = {}
portfolio['CryptoAssets']['MID_CAP_STOCKS'] = '69%'"
"alter AlphaFund by adding 77 proportion major stocks, please.","if 'AlphaFund' in portfolio and 'LARGE_CAP_STOCKS' in portfolio['AlphaFund']:
    portfolio['AlphaFund']['LARGE_CAP_STOCKS'] = '77%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Please update mid-cap stocks by 49 proportion in BetaPortfolio.,"if 'BetaPortfolio' in portfolio and 'MID_CAP_STOCKS' in portfolio['BetaPortfolio']:
    portfolio['BetaPortfolio']['MID_CAP_STOCKS'] = '49%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Please designate minor stocks by 38 proportion in CryptoAssets.,"if 'CryptoAssets' not in portfolio:
    portfolio['CryptoAssets'] = {}
portfolio['CryptoAssets']['SMALL_CAP_STOCKS'] = '38%'"
"adjust GlobalEquityFund by adding 50 percentage bonds, please.","if 'GlobalEquityFund' in portfolio and 'BONDS' in portfolio['GlobalEquityFund']:
    portfolio['GlobalEquityFund']['BONDS'] = '50%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Could you revise 64% to small-cap stocks in RealEstateHoldings?,"if 'RealEstateHoldings' in portfolio and 'SMALL_CAP_STOCKS' in portfolio['RealEstateHoldings']:
    portfolio['RealEstateHoldings']['SMALL_CAP_STOCKS'] = '64%'  # Update the allocation
else:
    raise ValueError('Portfolio or asset type not found')"
Could you set 30 proportion to big-cap stocks in TechGrowth?,"if 'TechGrowth' not in portfolio:
    portfolio['TechGrowth'] = {}
portfolio['TechGrowth']['LARGE_CAP_STOCKS'] = '30%'"
