input,output
"alter AlphaFund by adding 91% large-cap stocks, please.",UPDATE ETF AlphaFund WITH LARGE_CAP_STOCKS = 91%
How about we alter 38% of minor stocks in IncomeFund2024?,UPDATE ETF IncomeFund2024 WITH SMALL_CAP_STOCKS = 38%
Thinking of changeing 16% small-size stocks into BlueChipStocks,UPDATE ETF BlueChipStocks WITH SMALL_CAP_STOCKS = 16%
"alter BetaPortfolio by adding 86% fixed-income securities, please.",UPDATE ETF BetaPortfolio WITH BONDS = 86%
Let's designate 14% more of mid-cap stocks to AlphaFund's portfolio.,SET ETF AlphaFund WITH MID_CAP_STOCKS = 14%
Let's update 99% more of fixed-income securities to IncomeFund2024's portfolio.,UPDATE ETF IncomeFund2024 WITH BONDS = 99%
Let's designate 12% more of mid-size stocks to BetaPortfolio's portfolio.,SET ETF BetaPortfolio WITH MID_CAP_STOCKS = 12%
"We're moving to designate 45% more to fixed-income securities in HighYieldBonds, correct?",SET ETF HighYieldBonds WITH BONDS = 45%
I'm considering assigning DividendGrowers with an additional 65% of small-size stocks.,SET ETF DividendGrowers WITH SMALL_CAP_STOCKS = 65%
assign 13% to small-cap stocks in PreciousMetalsFund,SET ETF PreciousMetalsFund WITH SMALL_CAP_STOCKS = 13%
How about we alter 91% of small-cap stocks in CryptoAssets?,UPDATE ETF CryptoAssets WITH SMALL_CAP_STOCKS = 91%
I'm considering updateing myPortfolio with an additional 20% of mid-cap stocks.,UPDATE ETF myPortfolio WITH MID_CAP_STOCKS = 20%
designateing myPortfolio to include 22% more medium stocks.,SET ETF myPortfolio WITH MID_CAP_STOCKS = 22%
"revise BlueChipStocks by adding 87% debt instruments, please.",UPDATE ETF BlueChipStocks WITH BONDS = 87%
Thinking of assigning 32% major stocks into GlobalEquityFund,SET ETF GlobalEquityFund WITH LARGE_CAP_STOCKS = 32%
Is it possible to designate EmergingMarkets's minor stocks allocation by 47%?,SET ETF EmergingMarkets WITH SMALL_CAP_STOCKS = 47%
Is it possible to place GreenEnergyInvest's medium stocks allocation by 51%?,SET ETF GreenEnergyInvest WITH MID_CAP_STOCKS = 51%
How about we alter 37% of debt instruments in DividendGrowers?,UPDATE ETF DividendGrowers WITH BONDS = 37%
Thinking of modifying 77% bonds into IncomeFund2024,UPDATE ETF IncomeFund2024 WITH BONDS = 77%
Could you change 73% to small-cap stocks in PortfolioA?,UPDATE ETF PortfolioA WITH SMALL_CAP_STOCKS = 73%
Please designate big-cap stocks by 18% in myPortfolio.,SET ETF myPortfolio WITH LARGE_CAP_STOCKS = 18%
I'm considering updateing GlobalEquityFund with an additional 5% of mid-size stocks.,UPDATE ETF GlobalEquityFund WITH MID_CAP_STOCKS = 5%
Could you place 26% to bonds in PortfolioB?,SET ETF PortfolioB WITH BONDS = 26%
Thinking of updateing 72% big-cap stocks into VentureCapital,UPDATE ETF VentureCapital WITH LARGE_CAP_STOCKS = 72%
How about we position 76% of fixed-income securities in VentureCapital?,SET ETF VentureCapital WITH BONDS = 76%
Please change fixed-income securities by 7% in PreciousMetalsFund.,UPDATE ETF PreciousMetalsFund WITH BONDS = 7%
"We're moving to place 61% more to mid-size stocks in CryptoAssets, correct?",SET ETF CryptoAssets WITH MID_CAP_STOCKS = 61%
"We're moving to place 35% more to major stocks in ValueInvest, correct?",SET ETF ValueInvest WITH LARGE_CAP_STOCKS = 35%
How about we place 83% of debt instruments in HighYieldBonds?,SET ETF HighYieldBonds WITH BONDS = 83%
Plan to position the small-cap stocks in RealEstateHoldings by 27%.,SET ETF RealEstateHoldings WITH SMALL_CAP_STOCKS = 27%
Is it possible to assign TechGrowth's small-cap stocks allocation by 56%?,SET ETF TechGrowth WITH SMALL_CAP_STOCKS = 56%
Plan to change the large-cap stocks in ValueInvest by 6%.,UPDATE ETF ValueInvest WITH LARGE_CAP_STOCKS = 6%
"position myPortfolio by adding 82% fixed-income securities, please.",SET ETF myPortfolio WITH BONDS = 82%
I'm considering updateing GreenEnergyInvest with an additional 32% of small-size stocks.,UPDATE ETF GreenEnergyInvest WITH SMALL_CAP_STOCKS = 32%
Is it possible to revise PortfolioA's big-cap stocks allocation by 95%?,UPDATE ETF PortfolioA WITH LARGE_CAP_STOCKS = 95%
Plan to allocate the small-size stocks in GreenEnergyInvest by 17%.,SET ETF GreenEnergyInvest WITH SMALL_CAP_STOCKS = 17%
